iyear,imonth,iday,latitude,longitude,city
1999,10,2,27.491929,95.347833,Tinsukia District
1999,10,2,26.37931,90.025394,Kachugaon
1999,10,2,24.48338,93.52365,Henglep
1999,10,2,26.236916,92.608133,Nagaon District
1999,10,2,27.315444,95.286216,Kathalguri
1999,10,2,27.491929,95.347833,Tinsukia District
2000,6,2,34.092796,74.589592,Magam
2000,7,2,24.318984,91.997804,Kailasahar
2000,11,2,24.798346,93.94043,Imphal
2000,12,2,24.293794,93.877609,Sugnu
2001,3,2,33.778175,76.576171,Manjapu
2001,6,2,34.526179,74.254614,Kupwara
2001,8,2,32.529407,75.694138,Pathi
2001,8,2,33.778175,76.576171,Shams-ud-din Khan
2001,8,2,34.552849,74.3508,Surigam
2001,8,2,34.05998,74.424533,Tangmang
2001,9,2,33.14575,75.548049,Doda
2001,11,2,34.08374,74.789902,Srinagar
2001,12,2,32.526111,75.632222,Trimblii
2002,1,2,34.08374,74.789902,Srinagar
2002,1,2,32.264338,75.642112,Pathankot
2002,1,2,34.08374,74.789902,Srinagar
2002,1,2,33.484481,74.41299,Darhal
2002,8,2,34.08374,74.789902,Srinagar
2002,9,2,34.188027,74.731146,Sheikhpora
2002,10,2,33.778175,76.576171,Jaktial
2002,10,2,24.440294,92.181871,Bishnupur
2002,11,2,34.08374,74.789902,Srinagar
2002,11,2,34.08374,74.789902,Srinagar
2002,11,2,34.08374,74.789902,Srinagar
2002,12,2,19.075984,72.877656,Mumbai
2002,12,2,33.612159,74.925482,Damhal-Hanjipora
2003,1,2,17.571202,80.102984,Bayyaram
2003,1,2,34.016075,75.31498,Pahalgam
2003,2,2,21.278657,81.866144,Abhapalli
2003,9,2,33.437013,75.193934,Banihal
2003,9,2,33.778175,76.576171,Chursoo
2003,9,2,33.778175,76.576171,Ishber
2003,12,2,33.732216,75.157913,Anantnag
2004,1,2,32.726602,74.857026,Jammu
2004,1,2,33.789497,75.103386,Bijbehara
2004,7,2,33.14575,75.548049,Doda District
2004,7,2,33.732216,75.157913,Anantnag
2004,10,2,33.863243,75.284813,Aishmuqam
2004,10,2,26.200604,92.937574,Makri Jhoda
2004,10,2,25.906267,93.72759,Dimapur
2005,4,2,25.906034,93.733909,Dimapur district
2005,4,2,27.472718,94.912006,Dibrugarh
2005,6,2,34.067049,74.767113,Srinagar
2005,7,2,17.973356,79.59996,Warangal
